Campaign_ID,Channel,Campaign,Spend,Impressions,Clicks,Conversions,Revenue
MKT-70,Email,Campaign E,6316.27,122757,11173,1148,10497.52
MKT-71,Google Ads,Campaign E,2008.28,61091,4823,745,8793.76
MKT-72,Social Media,Campaign B,1773.33,44525,5127,245,2820.78
MKT-73,YouTube,Campaign E,6588.0,32412,3035,447,9886.76
MKT-74,Social Media,Campaign A,6001.66,56863,1490,103,12203.37
MKT-75,Display Ads,Campaign D,6827.76,125244,2215,236,26825.21
MKT-76,Social Media,Campaign C,9873.34,113458,6728,1128,17406.82
MKT-77,Email,Campaign B,2528.09,38544,2047,129,9624.75
MKT-78,YouTube,Campaign C,3637.25,50507,1232,121,7317.63
MKT-79,Display Ads,Campaign A,3213.97,83203,9343,1024,10837.49
MKT-80,Email,Campaign E,11986.54,130739,10130,1825,53153.51
MKT-81,Google Ads,Campaign C,5800.71,115231,1352,143,16110.07
MKT-82,Display Ads,Campaign B,7033.92,64067,4531,772,8684.28
MKT-83,YouTube,Campaign A,9619.56,14960,1786,316,41937.4
MKT-84,Email,Campaign C,5119.11,50580,1997,257,23318.68
MKT-85,Social Media,Campaign D,6905.52,94117,2699,148,7124.99
MKT-86,Display Ads,Campaign B,5133.12,142647,14514,2070,8047.11
MKT-87,Social Media,Campaign F,9837.86,146973,16234,733,34539.1
MKT-88,Google Ads,Campaign C,3205.45,123098,4971,962,5956.98
MKT-89,Social Media,Campaign E,5473.93,106431,10146,1612,12662.69
MKT-90,YouTube,Campaign A,2950.36,126093,1320,162,14091.84
MKT-91,Email,Campaign C,2891.98,135146,13392,482,6885.63
MKT-92,Email,Campaign C,4772.75,113325,3487,192,11646.44
MKT-93,Display Ads,Campaign D,10410.87,81333,6990,1376,25479.29
MKT-94,YouTube,Campaign A,11118.49,63486,2351,355,42453.65
MKT-95,Social Media,Campaign B,5884.66,23996,729,75,11520.51
MKT-96,Google Ads,Campaign B,10937.46,120428,11837,803,20743.3
MKT-97,YouTube,Campaign D,2052.94,8423,456,27,8595.01
MKT-98,Google Ads,Campaign B,903.84,62883,1749,236,3553.56
MKT-99,YouTube,Campaign F,11050.05,94063,9718,592,11073.74
MKT-100,Google Ads,Campaign E,4016.7,130776,10211,1601,5274.62
MKT-101,Display Ads,Campaign F,11292.88,20362,1191,211,32860.37
MKT-102,YouTube,Campaign B,9935.82,112991,10443,749,12632.16
MKT-103,Email,Campaign F,6283.06,102495,7593,691,24802.79
MKT-104,Display Ads,Campaign B,3337.34,137407,12506,1776,9652.8
MKT-105,YouTube,Campaign C,9645.17,70799,6329,1172,45686.67
MKT-106,Email,Campaign C,7839.57,56047,3482,688,9213.31
MKT-107,Social Media,Campaign C,10568.7,19112,1847,164,49883.36
MKT-108,Social Media,Campaign D,3965.18,133111,12608,1016,12789.5
MKT-109,Google Ads,Campaign D,10040.35,142453,4874,722,30664.16
MKT-110,YouTube,Campaign C,1134.91,76862,3713,652,1048.17
MKT-111,Google Ads,Campaign B,11369.21,130757,12090,802,48506.0
MKT-112,Display Ads,Campaign B,10685.61,113179,3819,441,41856.39
MKT-113,Google Ads,Campaign C,3153.58,64106,7400,1093,10540.03
MKT-114,Social Media,Campaign B,6613.55,112879,7040,710,22233.15
MKT-115,YouTube,Campaign B,10712.67,126393,6123,760,14613.25
MKT-116,Social Media,Campaign B,10883.27,145990,16264,1297,16069.57
MKT-117,Google Ads,Campaign A,1535.02,32172,574,113,1682.74
MKT-118,Email,Campaign F,10013.43,24218,1787,284,33281.12
MKT-119,Email,Campaign B,7842.38,68799,6082,611,17129.76
MKT-120,Display Ads,Campaign B,2451.71,72809,7107,475,3467.03
MKT-121,Social Media,Campaign F,10183.81,104917,8966,1561,11314.0
MKT-122,Google Ads,Campaign B,4038.15,115928,3921,564,17926.1
MKT-123,Social Media,Campaign A,7041.59,41062,2914,384,22824.2
MKT-124,Display Ads,Campaign A,2053.42,95414,8233,1164,7249.3
MKT-125,Email,Campaign E,5638.65,12460,243,14,14456.66
MKT-126,YouTube,Campaign C,3226.21,112721,11415,1349,12394.09
MKT-127,Display Ads,Campaign D,6240.73,16983,1903,206,18189.42
MKT-128,Email,Campaign F,8981.42,92289,1652,186,24486.64
MKT-129,Email,Campaign C,6175.33,85820,9941,1005,9408.35
MKT-130,Email,Campaign E,1594.66,36452,366,35,6182.45
MKT-131,Email,Campaign C,869.71,36246,977,185,1278.0
MKT-132,Google Ads,Campaign B,4251.74,95862,7723,727,16320.61
MKT-133,Email,Campaign E,10916.61,141949,13225,2287,52348.58
MKT-134,Display Ads,Campaign F,3799.26,37472,1406,94,11890.84
MKT-135,Email,Campaign B,11888.2,20856,1674,292,53874.16
MKT-136,Social Media,Campaign F,6578.23,34559,3511,261,16835.24
MKT-137,YouTube,Campaign D,11828.04,138300,13529,925,24642.54
MKT-138,Display Ads,Campaign E,6948.94,84356,5534,744,16908.8
MKT-139,Social Media,Campaign F,4335.82,66491,1595,86,18219.48
MKT-140,YouTube,Campaign B,3120.48,69710,6519,780,2760.45
MKT-141,Display Ads,Campaign F,2535.52,42011,1691,53,2585.57
MKT-142,Social Media,Campaign C,749.82,89350,9235,443,2419.12
MKT-143,Google Ads,Campaign D,5592.79,60484,5945,1074,4720.69
MKT-144,YouTube,Campaign D,10894.9,30897,2176,102,17553.45
MKT-145,Email,Campaign F,8835.39,33488,3845,418,17680.39
MKT-146,Email,Campaign E,4636.16,74198,2573,72,10240.58
MKT-147,Email,Campaign D,712.03,52182,4218,547,2781.61
MKT-148,Display Ads,Campaign B,8684.62,122525,2610,275,27909.1
MKT-149,Social Media,Campaign A,989.35,130391,7828,739,1490.62
MKT-150,Social Media,Campaign F,11145.4,124540,4003,749,9712.59
MKT-151,Google Ads,Campaign B,11447.18,78844,7405,1441,50637.85
MKT-152,YouTube,Campaign D,6828.72,145752,2710,468,22229.62
MKT-153,Email,Campaign E,5298.42,97533,2623,401,5828.63
MKT-154,YouTube,Campaign F,10263.25,110818,6867,767,21027.93
MKT-155,Social Media,Campaign D,8930.93,8383,245,14,23717.77
MKT-156,Google Ads,Campaign F,8942.68,141672,4771,833,20682.65
MKT-157,Display Ads,Campaign D,3279.55,90525,10132,672,11713.59
MKT-158,Social Media,Campaign A,2231.88,148160,2922,413,4818.5
MKT-159,Display Ads,Campaign E,5966.01,114400,4731,379,24954.61
MKT-160,Google Ads,Campaign A,10191.42,80410,4752,910,34683.22
MKT-161,Email,Campaign A,10678.57,104973,2685,127,37910.37
MKT-162,Email,Campaign D,3795.83,11869,301,29,9327.93
MKT-163,Google Ads,Campaign E,3715.82,66729,5177,451,12653.63
MKT-164,Display Ads,Campaign E,658.44,20756,774,79,1564.64
MKT-165,Email,Campaign E,4845.13,127798,9621,230,13859.66
MKT-166,Social Media,Campaign A,5344.72,55000,1156,186,24423.32
MKT-167,Display Ads,Campaign B,7415.79,40832,1687,272,24690.28
MKT-168,Email,Campaign A,11781.56,139728,2048,204,35202.73
MKT-169,YouTube,Campaign D,4367.29,18321,215,21,18214.3
MKT-170,Social Media,Campaign A,6017.68,51965,6110,644,7965.51
MKT-171,Social Media,Campaign A,11372.29,147876,9678,351,28369.55
MKT-172,Display Ads,Campaign F,6277.75,139865,16339,1088,17691.84
MKT-173,Social Media,Campaign F,5654.9,23690,2466,222,16528.67
MKT-174,Email,Campaign B,2644.56,146596,6326,161,6260.6
MKT-175,Google Ads,Campaign C,8320.4,72040,6067,409,18478.54
MKT-176,Google Ads,Campaign D,8742.65,55584,3408,289,36810.85
MKT-177,YouTube,Campaign D,2959.05,11083,528,14,8221.43
MKT-178,YouTube,Campaign F,3242.36,22971,2117,92,13059.5
MKT-179,Display Ads,Campaign D,7475.12,26900,2380,472,16192.25
MKT-180,Social Media,Campaign A,6470.42,28614,1964,102,21044.64
