Employee_ID,Age,Department,Job_Role,Years_At_Company,Salary,Job_Satisfaction,Workload_Level,Attrition
EMP-1187,28,Finance,Developer,2,80473,5,4,No
EMP-1188,27,Operations,Specialist,7,29322,2,2,No
EMP-1189,46,Finance,Specialist,14,130089,1,4,No
EMP-1190,42,Sales,Manager,5,63890,5,2,No
EMP-1191,30,Sales,Specialist,7,50379,4,2,No
EMP-1192,40,Operations,Developer,6,119787,1,4,No
EMP-1193,44,IT,Developer,13,47531,4,5,Yes
EMP-1194,44,HR,Analyst,2,35431,4,2,No
EMP-1195,57,Operations,Analyst,2,51048,4,4,No
EMP-1196,33,Sales,Manager,13,89482,5,3,No
EMP-1197,26,Sales,Developer,3,123689,5,4,No
EMP-1198,44,Sales,Analyst,7,55423,2,4,No
EMP-1199,46,Sales,Executive,8,87822,1,2,No
EMP-1200,32,HR,Developer,4,127601,3,4,No
EMP-1201,55,Sales,Manager,10,114165,5,2,No
EMP-1202,30,Finance,Manager,5,72044,2,4,No
EMP-1203,27,IT,Analyst,4,74469,1,2,No
EMP-1204,44,HR,Analyst,9,70334,3,4,No
EMP-1205,35,Operations,Specialist,3,44785,5,1,No
EMP-1206,21,Marketing,Executive,4,48642,3,4,No
EMP-1207,47,Operations,Analyst,11,77837,3,2,No
EMP-1208,38,Operations,Executive,4,99962,4,5,No
EMP-1209,40,Operations,Specialist,1,120396,4,1,No
EMP-1210,40,Marketing,Executive,6,97142,1,1,No
EMP-1211,29,IT,Executive,8,117864,3,1,No
EMP-1212,35,Finance,Analyst,1,77955,5,3,No
EMP-1213,23,Marketing,Manager,6,63470,1,3,No
EMP-1214,49,Finance,Executive,1,125338,1,5,No
EMP-1215,24,IT,Executive,9,114592,2,2,Yes
EMP-1216,46,Finance,Executive,4,115462,5,4,No
EMP-1217,39,Marketing,Analyst,6,111506,3,4,No
EMP-1218,56,Sales,Manager,2,123229,2,5,Yes
EMP-1219,31,IT,Specialist,1,63982,2,4,Yes
EMP-1220,58,Operations,Developer,3,49886,1,5,No
EMP-1221,23,Finance,Analyst,10,92921,2,4,Yes
EMP-1222,57,HR,Developer,4,61800,4,2,No
EMP-1223,21,Sales,Specialist,6,81230,4,1,No
EMP-1224,31,Marketing,Executive,14,58557,4,1,No
EMP-1225,51,IT,Executive,6,34998,1,4,No
EMP-1226,26,Sales,Manager,9,105156,4,5,No
EMP-1227,42,Operations,Manager,1,105520,1,2,No
EMP-1228,53,Sales,Executive,8,34363,1,4,No
EMP-1229,44,Sales,Manager,2,80203,5,1,No
EMP-1230,45,Sales,Specialist,0,110329,1,4,Yes
EMP-1231,34,HR,Executive,0,46493,3,2,No
EMP-1232,28,Marketing,Analyst,7,65155,1,1,No
EMP-1233,39,Marketing,Analyst,4,114947,5,1,No
EMP-1234,48,IT,Analyst,1,95290,1,4,Yes
EMP-1235,42,Marketing,Analyst,1,117854,4,2,No
EMP-1236,48,HR,Analyst,8,138273,3,4,No
EMP-1237,49,Finance,Developer,5,106156,1,1,No
EMP-1238,31,Sales,Analyst,12,83049,5,1,No
EMP-1239,57,Sales,Executive,10,44356,5,1,No
EMP-1240,28,HR,Developer,9,31007,2,3,No
EMP-1241,50,Sales,Manager,5,56762,3,3,No
EMP-1242,57,Operations,Specialist,8,113288,2,5,No
EMP-1243,41,Sales,Executive,13,122997,3,1,No
EMP-1244,25,IT,Developer,14,38679,4,2,No
EMP-1245,59,Operations,Developer,8,103440,1,5,No
EMP-1246,21,Marketing,Executive,12,59425,1,2,No
EMP-1247,22,Sales,Specialist,11,60333,4,1,No
EMP-1248,47,HR,Manager,6,49821,2,4,No
EMP-1249,30,Sales,Analyst,1,42778,3,2,No
EMP-1250,26,IT,Executive,6,134860,2,2,No
EMP-1251,46,Marketing,Analyst,13,133972,3,4,No
EMP-1252,25,IT,Specialist,13,90296,2,2,No
EMP-1253,32,Finance,Specialist,7,41634,5,3,No
EMP-1254,40,Sales,Analyst,10,32178,2,5,No
EMP-1255,31,Sales,Executive,8,49831,1,1,No
EMP-1256,23,Sales,Executive,0,81433,5,2,No
EMP-1257,59,Sales,Executive,11,66592,5,2,No
EMP-1258,44,Finance,Developer,2,99865,4,4,No
EMP-1259,28,IT,Developer,7,74636,3,1,No
EMP-1260,46,Sales,Analyst,7,31764,1,2,No
EMP-1261,53,HR,Analyst,9,31405,4,1,No
EMP-1262,37,Operations,Manager,6,67507,4,4,No
EMP-1263,30,Operations,Specialist,7,29130,5,2,No
EMP-1264,39,HR,Executive,1,30965,1,5,No
EMP-1265,54,Sales,Executive,14,37510,4,2,No
EMP-1266,21,Sales,Specialist,7,95157,2,1,No
EMP-1267,41,IT,Analyst,8,116031,4,3,No
EMP-1268,49,Operations,Executive,13,39400,1,1,Yes
EMP-1269,58,Operations,Executive,6,117314,4,1,No
EMP-1270,54,Marketing,Manager,13,73528,1,5,No
EMP-1271,23,Sales,Manager,14,82091,2,4,No
EMP-1272,35,Finance,Specialist,2,67351,2,3,No
EMP-1273,56,Operations,Analyst,7,49019,2,4,Yes
EMP-1274,25,Operations,Developer,10,84335,3,4,No
EMP-1275,55,Sales,Specialist,11,64894,2,5,Yes
EMP-1276,22,IT,Executive,0,64841,2,3,No
EMP-1277,57,Operations,Analyst,7,91193,4,1,No
EMP-1278,34,Sales,Executive,4,93536,5,3,No
EMP-1279,43,Sales,Analyst,10,64866,4,2,No
EMP-1280,55,Sales,Analyst,7,32066,5,5,No
EMP-1281,49,Marketing,Executive,6,96512,1,4,No
EMP-1282,58,HR,Specialist,0,60115,1,5,No
EMP-1283,41,Finance,Manager,3,90949,4,5,No
EMP-1284,38,HR,Developer,2,58073,5,1,No
EMP-1285,46,Marketing,Developer,0,55683,4,5,Yes
EMP-1286,25,Marketing,Analyst,1,105499,3,4,No
EMP-1287,38,Marketing,Manager,7,83759,5,1,No
EMP-1288,41,Operations,Analyst,5,56191,5,3,No
EMP-1289,59,Sales,Developer,2,88484,3,3,No
EMP-1290,30,Operations,Analyst,6,97443,1,4,No
EMP-1291,32,Finance,Executive,12,83916,2,2,No
EMP-1292,27,Marketing,Specialist,5,87210,4,1,No
EMP-1293,37,Finance,Manager,12,109453,3,1,No
EMP-1294,30,Marketing,Executive,11,36506,1,3,No
EMP-1295,38,IT,Analyst,0,94608,3,2,No
EMP-1296,22,Sales,Executive,13,68808,1,5,No
EMP-1297,48,Operations,Specialist,11,57460,2,5,No
EMP-1298,42,Sales,Specialist,9,28111,1,1,No
EMP-1299,32,Sales,Executive,14,50278,5,1,No
EMP-1300,38,HR,Executive,7,116430,2,1,No
