Order_ID,Order_Date,Region,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
ORD-10048,2025-03-10 16:57:49.879518072,East,Furniture,Desk,2,726.65,0.0,1453.3,344.95
ORD-10049,2025-03-12 04:02:53.493975904,West,Office Supplies,Paper,4,835.89,0.0,3343.57,519.65
ORD-10050,2025-03-13 15:07:57.108433735,West,Technology,Laptop,4,601.63,0.05,2286.21,294.34
ORD-10051,2025-03-15 02:13:00.722891566,West,Office Supplies,Binders,4,506.35,0.0,2025.4,429.7
ORD-10052,2025-03-16 13:18:04.337349398,West,Technology,Keyboard,1,385.92,0.0,385.92,78.36
ORD-10053,2025-03-18 00:23:07.951807229,West,Technology,Printer,6,428.63,0.15,2186.03,542.89
ORD-10054,2025-03-19 11:28:11.566265060,West,Technology,Keyboard,1,749.04,0.05,711.59,82.43
ORD-10055,2025-03-20 22:33:15.180722892,South,Furniture,Bookcase,6,782.95,0.1,4227.92,865.65
ORD-10056,2025-03-22 09:38:18.795180723,East,Furniture,Chair,3,391.91,0.0,1175.72,315.33
ORD-10057,2025-03-23 20:43:22.409638554,West,Technology,Monitor,4,224.45,0.0,897.78,214.61
ORD-10058,2025-03-25 07:48:26.024096386,East,Office Supplies,Binders,1,73.9,0.05,70.21,6.68
ORD-10059,2025-03-26 18:53:29.638554217,East,Technology,Printer,3,142.33,0.05,405.63,114.0
ORD-10060,2025-03-28 05:58:33.253012048,North,Technology,Laptop,2,150.95,0.05,286.8,18.66
ORD-10061,2025-03-29 17:03:36.867469880,East,Office Supplies,Paper,2,62.24,0.0,124.49,25.13
ORD-10062,2025-03-31 04:08:40.481927711,East,Office Supplies,Binders,3,296.42,0.15,755.88,204.09
ORD-10063,2025-04-01 15:13:44.096385542,North,Office Supplies,Binders,4,175.63,0.0,702.5,82.07
ORD-10064,2025-04-03 02:18:47.710843374,North,Technology,Keyboard,4,383.39,0.05,1456.89,218.05
ORD-10065,2025-04-04 13:23:51.325301205,South,Office Supplies,Folders,7,752.61,0.0,5268.28,381.8
ORD-10066,2025-04-06 00:28:54.939759036,West,Office Supplies,Folders,1,761.56,0.15,647.33,191.03
ORD-10067,2025-04-07 11:33:58.554216868,East,Technology,Printer,5,583.6,0.15,2480.29,612.53
ORD-10068,2025-04-08 22:39:02.168674699,West,Technology,Printer,4,470.09,0.15,1598.3,273.42
ORD-10069,2025-04-10 09:44:05.783132530,South,Office Supplies,Pens,5,250.82,0.1,1128.69,105.58
ORD-10070,2025-04-11 20:49:09.397590362,South,Furniture,Chair,3,220.82,0.05,629.35,93.1
ORD-10071,2025-04-13 07:54:13.012048193,West,Office Supplies,Pens,4,621.88,0.05,2363.15,310.16
ORD-10072,2025-04-14 18:59:16.626506024,South,Office Supplies,Folders,7,440.61,0.15,2621.6,494.18
ORD-10073,2025-04-16 06:04:20.240963856,West,Office Supplies,Binders,4,726.89,0.1,2616.79,491.57
ORD-10074,2025-04-17 17:09:23.855421686,North,Furniture,Chair,3,665.38,0.0,1996.14,452.63
ORD-10075,2025-04-19 04:14:27.469879518,East,Furniture,Cabinet,7,558.73,0.0,3911.08,323.93
ORD-10076,2025-04-20 15:19:31.084337350,North,Office Supplies,Folders,1,843.31,0.1,758.98,220.2
ORD-10077,2025-04-22 02:24:34.698795180,West,Technology,Printer,3,707.62,0.1,1910.58,479.23
ORD-10078,2025-04-23 13:29:38.313253012,North,Office Supplies,Paper,2,537.22,0.0,1074.43,223.35
ORD-10079,2025-04-25 00:34:41.927710844,East,Technology,Laptop,1,521.6,0.1,469.44,80.67
ORD-10080,2025-04-26 11:39:45.542168674,South,Furniture,Bookcase,6,722.33,0.1,3900.59,795.34
ORD-10081,2025-04-27 22:44:49.156626506,South,Technology,Printer,6,118.64,0.0,711.82,57.69
ORD-10082,2025-04-29 09:49:52.771084338,East,Furniture,Bookcase,3,700.27,0.0,2100.82,294.27
ORD-10083,2025-04-30 20:54:56.385542168,East,Office Supplies,Binders,6,254.42,0.15,1297.56,191.27
ORD-10084,2025-05-02 08:00:00.000000000,West,Technology,Monitor,2,145.79,0.0,291.58,48.14
ORD-10085,2025-05-03 19:05:03.614457832,South,Office Supplies,Pens,1,504.4,0.1,453.96,129.23
ORD-10086,2025-05-05 06:10:07.228915662,West,Office Supplies,Folders,4,348.08,0.1,1253.08,291.04
ORD-10087,2025-05-06 17:15:10.843373494,North,Office Supplies,Binders,3,767.72,0.0,2303.17,490.34
ORD-10088,2025-05-08 04:20:14.457831326,North,Technology,Monitor,5,622.2,0.1,2799.88,473.28
ORD-10089,2025-05-09 15:25:18.072289156,North,Office Supplies,Binders,4,420.82,0.05,1599.1,265.7
ORD-10090,2025-05-11 02:30:21.686746988,North,Technology,Keyboard,7,706.45,0.1,4450.6,1332.01
ORD-10091,2025-05-12 13:35:25.301204820,East,Technology,Printer,5,755.65,0.05,3589.35,307.04
ORD-10092,2025-05-14 00:40:28.915662650,North,Office Supplies,Paper,5,590.36,0.1,2656.62,731.34
ORD-10093,2025-05-15 11:45:32.530120482,West,Office Supplies,Paper,2,141.57,0.0,283.15,69.78
ORD-10094,2025-05-16 22:50:36.144578314,North,Technology,Laptop,7,595.8,0.15,3545.0,217.32
ORD-10095,2025-05-18 09:55:39.759036144,South,Technology,Laptop,6,724.31,0.1,3911.28,458.61
ORD-10096,2025-05-19 21:00:43.373493976,West,Office Supplies,Paper,1,723.85,0.15,615.28,150.93
ORD-10097,2025-05-21 08:05:46.987951808,North,Office Supplies,Folders,6,50.53,0.15,257.72,27.94
ORD-10098,2025-05-22 19:10:50.602409638,East,Technology,Keyboard,4,674.49,0.1,2428.17,641.7
ORD-10099,2025-05-24 06:15:54.216867470,North,Furniture,Chair,6,185.84,0.1,1003.55,125.43
ORD-10100,2025-05-25 17:20:57.831325302,North,Office Supplies,Folders,7,556.22,0.1,3504.16,728.56
ORD-10101,2025-05-27 04:26:01.445783132,South,Technology,Laptop,2,642.98,0.15,1093.06,111.0
ORD-10102,2025-05-28 15:31:05.060240964,South,Technology,Printer,2,882.32,0.1,1588.18,394.15
ORD-10103,2025-05-30 02:36:08.674698796,East,Technology,Keyboard,7,143.44,0.1,903.67,259.39
ORD-10104,2025-05-31 13:41:12.289156626,East,Technology,Monitor,5,634.3,0.05,3012.93,860.92
ORD-10105,2025-06-02 00:46:15.903614458,North,Technology,Laptop,4,372.57,0.1,1341.25,233.11
ORD-10106,2025-06-03 11:51:19.518072290,South,Technology,Printer,1,261.1,0.0,261.1,42.48
ORD-10107,2025-06-04 22:56:23.132530120,West,Office Supplies,Folders,3,379.45,0.1,1024.52,161.98
ORD-10108,2025-06-06 10:01:26.746987952,North,Technology,Printer,5,295.58,0.15,1256.22,201.52
ORD-10109,2025-06-07 21:06:30.361445784,East,Furniture,Desk,2,521.63,0.0,1043.25,204.25
ORD-10110,2025-06-09 08:11:33.975903614,South,Office Supplies,Folders,5,592.4,0.1,2665.81,663.74
ORD-10111,2025-06-10 19:16:37.590361446,West,Furniture,Bookcase,2,569.02,0.05,1081.14,158.45
ORD-10112,2025-06-12 06:21:41.204819278,West,Furniture,Cabinet,6,799.47,0.0,4796.8,867.61
ORD-10113,2025-06-13 17:26:44.819277108,South,Office Supplies,Folders,2,293.29,0.15,498.59,130.12
ORD-10114,2025-06-15 04:31:48.433734940,West,Furniture,Chair,1,78.77,0.15,66.96,4.91
ORD-10115,2025-06-16 15:36:52.048192772,North,Technology,Monitor,4,168.1,0.05,638.78,86.45
ORD-10116,2025-06-18 02:41:55.662650602,West,Office Supplies,Binders,1,747.05,0.1,672.34,100.41
ORD-10117,2025-06-19 13:46:59.277108434,East,Office Supplies,Paper,2,120.91,0.1,217.64,32.12
ORD-10118,2025-06-21 00:52:02.891566266,South,Office Supplies,Paper,7,698.31,0.05,4643.78,1045.03
ORD-10119,2025-06-22 11:57:06.506024096,East,Technology,Keyboard,6,582.19,0.05,3318.46,207.65
ORD-10120,2025-06-23 23:02:10.120481928,North,Technology,Printer,4,159.92,0.1,575.71,150.1
ORD-10121,2025-06-25 10:07:13.734939760,East,Office Supplies,Binders,7,757.58,0.1,4772.73,1420.73
ORD-10122,2025-06-26 21:12:17.349397590,North,Technology,Keyboard,4,362.43,0.05,1377.22,332.29
ORD-10123,2025-06-28 08:17:20.963855422,North,Technology,Monitor,4,148.35,0.05,563.71,58.3
ORD-10124,2025-06-29 19:22:24.578313254,South,Office Supplies,Binders,1,221.07,0.0,221.07,39.27
ORD-10125,2025-07-01 06:27:28.192771084,West,Office Supplies,Folders,6,89.44,0.05,509.82,60.4
ORD-10126,2025-07-02 17:32:31.807228916,East,Office Supplies,Binders,5,589.5,0.05,2800.11,680.7
ORD-10127,2025-07-04 04:37:35.421686748,West,Furniture,Chair,6,492.48,0.05,2807.15,396.45
ORD-10128,2025-07-05 15:42:39.036144578,West,Office Supplies,Pens,4,695.24,0.1,2502.85,453.39
ORD-10129,2025-07-07 02:47:42.650602410,East,Furniture,Cabinet,3,767.49,0.1,2072.23,293.72
ORD-10130,2025-07-08 13:52:46.265060242,South,Furniture,Cabinet,4,107.91,0.0,431.63,120.93
ORD-10131,2025-07-10 00:57:49.879518072,South,Furniture,Bookcase,3,314.89,0.0,944.66,100.12
ORD-10132,2025-07-11 12:02:53.493975904,South,Technology,Keyboard,7,411.66,0.05,2737.56,557.46
ORD-10133,2025-07-12 23:07:57.108433736,East,Furniture,Chair,3,637.18,0.05,1815.98,385.18
ORD-10134,2025-07-14 10:13:00.722891566,West,Office Supplies,Binders,5,437.59,0.15,1859.77,514.78
ORD-10135,2025-07-15 21:18:04.337349398,North,Furniture,Bookcase,2,707.07,0.15,1202.03,322.18
ORD-10136,2025-07-17 08:23:07.951807230,East,Technology,Keyboard,6,404.48,0.1,2184.18,473.93
ORD-10137,2025-07-18 19:28:11.566265060,West,Furniture,Cabinet,1,270.08,0.15,229.57,54.2
ORD-10138,2025-07-20 06:33:15.180722892,North,Office Supplies,Folders,3,124.62,0.05,355.18,87.57
ORD-10139,2025-07-21 17:38:18.795180724,North,Office Supplies,Pens,7,426.5,0.15,2537.68,747.85
ORD-10140,2025-07-23 04:43:22.409638554,East,Furniture,Chair,6,90.07,0.0,540.39,136.45
ORD-10141,2025-07-24 15:48:26.024096386,West,Technology,Printer,4,47.72,0.15,162.24,24.25
ORD-10142,2025-07-26 02:53:29.638554218,East,Technology,Monitor,1,612.65,0.15,520.75,127.94
ORD-10143,2025-07-27 13:58:33.253012048,West,Technology,Printer,6,723.77,0.1,3908.37,280.43
ORD-10144,2025-07-29 01:03:36.867469880,North,Technology,Laptop,5,774.44,0.05,3678.59,675.06
ORD-10145,2025-07-30 12:08:40.481927712,East,Technology,Keyboard,4,370.2,0.0,1480.8,407.15
ORD-10146,2025-07-31 23:13:44.096385544,South,Office Supplies,Pens,2,769.71,0.1,1385.48,366.88
ORD-10147,2025-08-02 10:18:47.710843372,East,Office Supplies,Pens,5,366.29,0.1,1648.31,207.62
ORD-10148,2025-08-03 21:23:51.325301204,South,Office Supplies,Binders,2,90.06,0.1,162.1,37.65
ORD-10149,2025-08-05 08:28:54.939759036,East,Furniture,Cabinet,4,277.28,0.15,942.75,148.87
ORD-10150,2025-08-06 19:33:58.554216868,East,Technology,Laptop,5,897.86,0.15,3815.9,774.06
ORD-10151,2025-08-08 06:39:02.168674700,North,Technology,Monitor,4,454.77,0.15,1546.22,142.64
ORD-10152,2025-08-09 17:44:05.783132532,North,Furniture,Chair,1,193.75,0.1,174.38,29.43
ORD-10153,2025-08-11 04:49:09.397590360,West,Office Supplies,Folders,7,387.04,0.05,2573.8,746.94
ORD-10154,2025-08-12 15:54:13.012048192,West,Office Supplies,Folders,4,266.82,0.05,1013.91,118.04
ORD-10155,2025-08-14 02:59:16.626506024,North,Furniture,Desk,7,483.64,0.15,2877.69,685.34
ORD-10156,2025-08-15 14:04:20.240963856,North,Furniture,Bookcase,5,279.95,0.15,1189.81,163.48
ORD-10157,2025-08-17 01:09:23.855421688,South,Technology,Laptop,3,265.67,0.15,677.47,131.94
ORD-10158,2025-08-18 12:14:27.469879520,South,Office Supplies,Folders,6,402.97,0.15,2055.16,613.93
ORD-10159,2025-08-19 23:19:31.084337348,South,Furniture,Bookcase,2,813.76,0.15,1383.39,344.49
ORD-10160,2025-08-21 10:24:34.698795180,East,Technology,Laptop,4,105.18,0.05,399.67,115.62
ORD-10161,2025-08-22 21:29:38.313253012,East,Office Supplies,Folders,7,46.72,0.05,310.69,90.21
ORD-10162,2025-08-24 08:34:41.927710844,North,Technology,Monitor,1,232.77,0.1,209.49,35.45
ORD-10163,2025-08-25 19:39:45.542168676,East,Technology,Keyboard,6,60.1,0.05,342.57,29.73
ORD-10164,2025-08-27 06:44:49.156626508,North,Furniture,Cabinet,1,632.9,0.05,601.25,79.66
ORD-10165,2025-08-28 17:49:52.771084336,South,Furniture,Desk,2,16.47,0.05,31.29,2.72
ORD-10166,2025-08-30 04:54:56.385542168,South,Office Supplies,Paper,1,464.73,0.05,441.49,61.78
ORD-10167,2025-08-31 16:00:00.000000000,North,Furniture,Desk,4,759.47,0.15,2582.18,316.27
ORD-10168,2025-09-02 03:05:03.614457832,East,Technology,Keyboard,2,439.68,0.15,747.45,85.79
ORD-10169,2025-09-03 14:10:07.228915664,West,Office Supplies,Pens,2,57.98,0.15,98.57,16.81
ORD-10170,2025-09-05 01:15:10.843373496,North,Office Supplies,Paper,2,56.93,0.05,108.16,30.34
ORD-10171,2025-09-06 12:20:14.457831324,East,Technology,Laptop,7,42.69,0.0,298.8,25.86
ORD-10172,2025-09-07 23:25:18.072289156,East,Furniture,Desk,2,518.75,0.0,1037.51,273.76
ORD-10173,2025-09-09 10:30:21.686746988,West,Furniture,Chair,2,562.92,0.15,956.96,94.79
ORD-10174,2025-09-10 21:35:25.301204820,West,Office Supplies,Binders,6,240.02,0.0,1440.14,243.48
ORD-10175,2025-09-12 08:40:28.915662652,North,Office Supplies,Folders,7,334.96,0.15,1993.01,508.53
ORD-10176,2025-09-13 19:45:32.530120484,North,Technology,Keyboard,6,546.65,0.05,3115.9,496.57
ORD-10177,2025-09-15 06:50:36.144578312,South,Furniture,Desk,6,41.4,0.0,248.42,35.56
ORD-10178,2025-09-16 17:55:39.759036144,East,Technology,Keyboard,2,656.79,0.15,1116.54,264.91
ORD-10179,2025-09-18 05:00:43.373493976,West,Office Supplies,Pens,1,540.54,0.15,459.46,41.46
ORD-10180,2025-09-19 16:05:46.987951808,East,Technology,Keyboard,5,168.06,0.15,714.24,212.86
ORD-10181,2025-09-21 03:10:50.602409640,South,Technology,Laptop,7,893.88,0.0,6257.16,1253.39
ORD-10182,2025-09-22 14:15:54.216867472,East,Technology,Keyboard,7,794.14,0.05,5281.01,1104.95
ORD-10183,2025-09-24 01:20:57.831325300,South,Technology,Monitor,6,541.19,0.0,3247.15,424.54
ORD-10184,2025-09-25 12:26:01.445783132,East,Furniture,Cabinet,6,31.07,0.0,186.43,21.53
ORD-10185,2025-09-26 23:31:05.060240964,East,Office Supplies,Binders,6,555.53,0.05,3166.53,610.66
ORD-10186,2025-09-28 10:36:08.674698796,East,Furniture,Cabinet,5,657.31,0.15,2793.55,676.1
ORD-10187,2025-09-29 21:41:12.289156628,North,Office Supplies,Binders,2,470.41,0.05,893.77,56.3
ORD-10188,2025-10-01 08:46:15.903614460,North,Office Supplies,Pens,4,376.05,0.15,1278.56,349.71
ORD-10189,2025-10-02 19:51:19.518072288,South,Furniture,Desk,2,147.2,0.1,264.95,77.04
ORD-10190,2025-10-04 06:56:23.132530120,West,Technology,Keyboard,2,775.2,0.15,1317.84,146.17
ORD-10191,2025-10-05 18:01:26.746987952,South,Furniture,Desk,7,792.35,0.1,4991.83,753.63
ORD-10192,2025-10-07 05:06:30.361445784,West,Furniture,Chair,6,662.06,0.1,3575.1,703.52
ORD-10193,2025-10-08 16:11:33.975903616,East,Furniture,Chair,6,781.03,0.15,3983.26,1001.96
ORD-10194,2025-10-10 03:16:37.590361448,North,Technology,Laptop,2,673.09,0.05,1278.86,377.28
ORD-10195,2025-10-11 14:21:41.204819276,East,Office Supplies,Pens,6,800.5,0.1,4322.7,668.77
ORD-10196,2025-10-13 01:26:44.819277108,South,Technology,Monitor,5,529.18,0.05,2513.58,513.84
ORD-10197,2025-10-14 12:31:48.433734940,South,Furniture,Cabinet,4,189.12,0.05,718.64,108.18
ORD-10198,2025-10-15 23:36:52.048192772,East,Furniture,Cabinet,1,159.14,0.05,151.18,21.39
ORD-10199,2025-10-17 10:41:55.662650604,East,Technology,Printer,6,102.55,0.0,615.29,148.19
ORD-10200,2025-10-18 21:46:59.277108436,North,Office Supplies,Pens,2,193.85,0.15,329.54,61.06
ORD-10201,2025-10-20 08:52:02.891566264,North,Technology,Monitor,4,54.98,0.05,208.92,36.68
ORD-10202,2025-10-21 19:57:06.506024096,North,Office Supplies,Paper,5,453.52,0.15,1927.47,232.42
ORD-10203,2025-10-23 07:02:10.120481928,North,Technology,Monitor,3,790.89,0.15,2016.77,557.42
ORD-10204,2025-10-24 18:07:13.734939760,North,Office Supplies,Folders,7,858.4,0.1,5407.95,503.32
ORD-10205,2025-10-26 05:12:17.349397592,East,Office Supplies,Pens,2,100.83,0.1,181.49,47.73
ORD-10206,2025-10-27 16:17:20.963855424,South,Furniture,Desk,4,161.3,0.0,645.2,63.54
ORD-10207,2025-10-29 03:22:24.578313252,West,Technology,Printer,3,665.59,0.1,1797.09,235.5
ORD-10208,2025-10-30 14:27:28.192771084,West,Furniture,Cabinet,3,687.61,0.0,2062.84,226.16
ORD-10209,2025-11-01 01:32:31.807228916,South,Furniture,Cabinet,3,808.07,0.0,2424.2,203.86
ORD-10210,2025-11-02 12:37:35.421686748,South,Technology,Laptop,6,173.85,0.1,938.79,157.69
ORD-10211,2025-11-03 23:42:39.036144580,East,Technology,Laptop,7,768.43,0.1,4841.12,1306.61
ORD-10212,2025-11-05 10:47:42.650602412,North,Furniture,Bookcase,4,234.84,0.05,892.39,88.08
ORD-10213,2025-11-06 21:52:46.265060240,South,Technology,Printer,1,702.96,0.15,597.52,110.09
ORD-10214,2025-11-08 08:57:49.879518072,South,Furniture,Desk,4,489.86,0.15,1665.53,152.6
ORD-10215,2025-11-09 20:02:53.493975904,North,Furniture,Chair,2,441.6,0.15,750.72,216.78
ORD-10216,2025-11-11 07:07:57.108433736,South,Technology,Monitor,4,198.83,0.0,795.32,53.46
ORD-10217,2025-11-12 18:13:00.722891568,North,Furniture,Chair,2,299.56,0.15,509.25,104.88
ORD-10218,2025-11-14 05:18:04.337349400,North,Furniture,Cabinet,3,485.72,0.1,1311.44,389.85
ORD-10219,2025-11-15 16:23:07.951807228,West,Technology,Printer,6,429.85,0.1,2321.2,224.44
ORD-10220,2025-11-17 03:28:11.566265060,South,Office Supplies,Folders,3,59.34,0.15,151.33,37.93
ORD-10221,2025-11-18 14:33:15.180722892,North,Furniture,Bookcase,1,717.37,0.15,609.76,67.6
ORD-10222,2025-11-20 01:38:18.795180724,North,Office Supplies,Folders,4,580.53,0.15,1973.79,589.0
ORD-10223,2025-11-21 12:43:22.409638556,South,Technology,Monitor,7,420.56,0.0,2943.93,267.8
ORD-10224,2025-11-22 23:48:26.024096388,West,Technology,Printer,5,362.74,0.0,1813.7,247.75
ORD-10225,2025-11-24 10:53:29.638554216,North,Furniture,Bookcase,6,599.06,0.05,3414.62,696.33
ORD-10226,2025-11-25 21:58:33.253012048,North,Furniture,Bookcase,7,318.3,0.1,2005.3,446.67
ORD-10227,2025-11-27 09:03:36.867469880,East,Office Supplies,Binders,5,412.92,0.0,2064.62,566.11
ORD-10228,2025-11-28 20:08:40.481927712,East,Office Supplies,Pens,7,485.3,0.15,2887.54,382.87
ORD-10229,2025-11-30 07:13:44.096385544,West,Furniture,Cabinet,6,668.58,0.05,3810.92,597.38
ORD-10230,2025-12-01 18:18:47.710843376,West,Furniture,Chair,6,465.41,0.1,2513.2,403.7
ORD-10231,2025-12-03 05:23:51.325301204,South,Technology,Keyboard,3,376.22,0.05,1072.22,177.57
ORD-10232,2025-12-04 16:28:54.939759036,East,Technology,Printer,1,605.73,0.0,605.73,132.71
ORD-10233,2025-12-06 03:33:58.554216868,West,Technology,Laptop,7,190.06,0.05,1263.91,311.88
ORD-10234,2025-12-07 14:39:02.168674700,North,Office Supplies,Binders,2,606.05,0.0,1212.09,152.77
ORD-10235,2025-12-09 01:44:05.783132532,East,Office Supplies,Paper,2,612.14,0.05,1163.07,323.89
ORD-10236,2025-12-10 12:49:09.397590364,West,Technology,Printer,4,635.73,0.15,2161.49,446.16
ORD-10237,2025-12-11 23:54:13.012048192,East,Office Supplies,Pens,3,298.63,0.1,806.31,237.27
ORD-10238,2025-12-13 10:59:16.626506024,South,Furniture,Desk,5,35.56,0.1,160.0,43.2
ORD-10239,2025-12-14 22:04:20.240963856,South,Office Supplies,Folders,3,843.3,0.05,2403.42,636.8
ORD-10240,2025-12-16 09:09:23.855421688,East,Technology,Printer,4,448.49,0.05,1704.28,238.92
ORD-10241,2025-12-17 20:14:27.469879520,West,Office Supplies,Paper,3,832.63,0.15,2123.2,557.12
ORD-10242,2025-12-19 07:19:31.084337352,West,Office Supplies,Paper,6,691.73,0.0,4150.38,727.75
ORD-10243,2025-12-20 18:24:34.698795180,South,Furniture,Desk,5,585.66,0.0,2928.32,379.03
ORD-10244,2025-12-22 05:29:38.313253012,North,Technology,Monitor,5,377.83,0.05,1794.71,459.18
ORD-10245,2025-12-23 16:34:41.927710844,South,Technology,Printer,4,21.64,0.0,86.57,12.18
ORD-10246,2025-12-25 03:39:45.542168676,West,Office Supplies,Paper,6,137.42,0.1,742.07,65.13
ORD-10247,2025-12-26 14:44:49.156626508,North,Technology,Monitor,4,185.44,0.15,630.51,61.13
ORD-10248,2025-12-28 01:49:52.771084340,West,Furniture,Desk,5,840.62,0.05,3992.93,306.31
ORD-10249,2025-12-29 12:54:56.385542168,North,Office Supplies,Paper,5,254.51,0.15,1081.67,294.61
ORD-10250,2025-12-31 00:00:00.000000000,North,Furniture,Desk,1,751.79,0.1,676.61,109.37
